feature,mean_non_pcos,mean_pcos,mean_diff,p_value
Follicle No. (R),4.637362637362638,10.76271186440678,6.1253492270441425,2.9680502016929122e-46
Follicle No. (L),4.351648351648351,9.785310734463277,5.4336623828149255,1.1080320925068596e-37
Cycle(R/I),2.3076923076923075,3.07909604519774,0.7714037375054326,2.078893995621679e-17
AMH(ng/mL),4.541495867768595,7.844632768361582,3.303136900592987,3.2262244594709717e-07
Weight (Kg),58.0087912087912,62.98587570621469,4.9770844974234905,3.7426332777899966e-06
BMI,23.754439473684275,25.48111758852941,1.7266781148451358,1.0004038485709456e-05
Age (yrs),32.065934065934066,30.124293785310734,-1.9416402806233322,8.142275054371008e-05
Waist(inch),33.42857142857143,34.68926553672316,1.260694108151732,0.00020172590301029687
Cycle length(days),5.126373626373627,4.559322033898305,-0.5670515924753214,0.00023590140709494077
Hip(inch),37.543956043956044,38.91525423728814,1.3712981933320947,0.00026890755774258403
Avg. F size (L) (mm),14.687637362637362,15.69774011299435,1.010102750356987,0.0005089750928325174
Marraige Status (Yrs),8.057692307692308,6.901704545454546,-1.1559877622377623,0.008203133081568054
Endometrium (mm),8.315027472527472,8.806779661016948,0.49175218848947644,0.008831545650798522
Pulse rate(bpm),72.96428571428571,73.83050847457628,0.8662227602905688,0.009824403617515805
Avg. F size (R) (mm),15.225824175824176,15.916214689265537,0.6903905134413613,0.01891982067926765
Hb(g/dl),11.107390109890108,11.268305084745762,0.16091497485565398,0.0388827333249915
Height(Cm),156.19793406593405,157.07484745762713,0.8769133916930798,0.11786431273505116
Sl. No,264.35714285714283,284.66101694915255,20.30387409200972,0.14070548370531374
Patient File No.,264.35714285714283,284.66101694915255,20.30387409200972,0.14070548370531374
No. of abortions,0.3159340659340659,0.23163841807909605,-0.08429564785496987,0.14092384293527557
PRG(ng/mL),0.727260989010989,0.3717401129943503,-0.35552087601663873,0.14518254847437717
Vit D3 (ng/mL),29.2950054945055,92.32263276836159,63.02762727385608,0.16680448571890208
LH(mIU/mL),2.6126758241758243,14.402327683615821,11.789651859439997,0.30189389243147874
FSH(mIU/mL),19.185956043956043,5.174593220338983,-14.011362823617059,0.31316554276956093
RBS(mg/dl),99.2032967032967,101.13672316384181,1.9334264605451068,0.3232357605809418
BP _Diastolic (mmHg),76.78021978021978,77.2316384180791,0.45141863785931946,0.32936485798875254
RR (breaths/min),19.20054945054945,19.333333333333332,0.1327838827838832,0.3854214137481778
Blood Group,13.755494505494505,13.898305084745763,0.1428105792512575,0.4026361830161112
I beta-HCG(mIU/mL),728.9824368131867,532.0425367231638,-196.9399000900229,0.49380114440730116
FSH/LH,7.680152568388301,5.310594158009079,-2.3695584103792227,0.5740999016120336
Waist:Hip Ratio,0.8914998655199692,0.8927242401295705,0.001224374609601342,0.7735073634595087
II beta-HCG(mIU/mL),223.97513736263738,269.0631193181818,45.08798195554442,0.7817025952795351
TSH (mIU/L),3.0078104395604397,2.9267231638418076,-0.08108727571863206,0.7893795632602904
BP _Systolic (mmHg),114.62087912087912,114.7457627118644,0.12488359098527724,0.8353360982891284
PRL(ng/mL),24.267857142857142,24.431807909604522,0.16395076674738007,0.9013899445889445
